question,correct_answer,student_answer,label,processed_correct_answer,processed_student_answer
Who painted 'The Starry Night'?,'The Starry Night' was painted by Vincent van Gogh.,The artist of 'The Starry Night' is Vincent van Gogh.,1,starry night painted vincent van gogh,artist starry night vincent van gogh
Who painted 'The Starry Night'?,'The Starry Night' was painted by Vincent van Gogh.,Pablo Picasso painted 'The Starry Night'.,0,starry night painted vincent van gogh,pablo picasso painted starry night
What is the largest internal organ in the human body?,The largest internal organ is the liver.,The liver is the largest internal organ.,1,largest internal organ liver,liver largest internal organ
What is the largest internal organ in the human body?,The largest internal organ is the liver.,In humans the liver is the largest internal organ.,1,largest internal organ liver,humans liver largest internal organ
What is the largest internal organ in the human body?,The largest internal organ is the liver.,The heart is the largest internal organ.,0,largest internal organ liver,heart largest internal organ
What is the capital of Egypt?,The capital of Egypt is Cairo.,Cairo is Egypt's capital city.,1,capital egypt cairo,cairo egypt capital city
What is the capital of Egypt?,The capital of Egypt is Cairo.,Egypt's capital is Cairo.,1,capital egypt cairo,egypt capital cairo
What is the capital of Egypt?,The capital of Egypt is Cairo.,Alexandria is the capital of Egypt.,0,capital egypt cairo,alexandria capital egypt
What is the chemical symbol for Lead?,The chemical symbol for Lead is Pb.,Lead is represented by the symbol Pb.,1,chemical symbol lead pb,lead represented symbol pb
What is the chemical symbol for Lead?,The chemical symbol for Lead is Pb.,Pb is the chemical symbol for Lead.,1,chemical symbol lead pb,pb chemical symbol lead
What is the chemical symbol for Lead?,The chemical symbol for Lead is Pb.,Lead's symbol is Ld.,0,chemical symbol lead pb,lead symbol ld
What does UNESCO stand for?,UNESCO stands for United Nations Educational Scientific and Cultural Organization.,United Nations Educational Scientific and Cultural Organization is UNESCO.,1,unesco stands united nations educational scientific cultural organization,united nations educational scientific cultural organization unesco
What does UNESCO stand for?,UNESCO stands for United Nations Educational Scientific and Cultural Organization.,UNESCO means United Nations Educational Scientific and Cultural Organization.,1,unesco stands united nations educational scientific cultural organization,unesco means united nations educational scientific cultural organization
What does UNESCO stand for?,UNESCO stands for United Nations Educational Scientific and Cultural Organization.,UNESCO stands for United Nations Economic and Social Council.,0,unesco stands united nations educational scientific cultural organization,unesco stands united nations economic social council
What is the function of chlorophyll in plants?,Chlorophyll allows plants to absorb energy from light.,Plants use chlorophyll to capture sunlight for photosynthesis.,1,chlorophyll allows plants absorb energy light,plants use chlorophyll capture sunlight photosynthesis
What is the function of chlorophyll in plants?,Chlorophyll allows plants to absorb energy from light.,Chlorophyll helps plants absorb light energy.,1,chlorophyll allows plants absorb energy light,chlorophyll helps plants absorb light energy
What is the function of chlorophyll in plants?,Chlorophyll allows plants to absorb energy from light.,Chlorophyll stores food in plants.,0,chlorophyll allows plants absorb energy light,chlorophyll stores food plants
